画像読み込み成功: images/base/base.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 8950 / 40401  (ω1=9.4°, ω2=30.5°, E=1381.9125)
  進捗: 9000 / 40401  (ω1=9.4°, ω2=35.5°, E=1660.6055)
  進捗: 9050 / 40401  (ω1=9.5°, ω2=20.4°, E=1599.3966)
  進捗: 9100 / 40401  (ω1=9.5°, ω2=25.4°, E=1425.3192)
  進捗: 9150 / 40401  (ω1=9.5°, ω2=30.4°, E=1364.0935)
  進捗: 9200 / 40401  (ω1=9.5°, ω2=35.4°, E=1655.8739)
  進捗: 9250 / 40401  (ω1=9.6°, ω2=20.3°, E=1597.7021)
  進捗: 9300 / 40401  (ω1=9.6°, ω2=25.3°, E=1431.0384)
  進捗: 9350 / 40401  (ω1=9.6°, ω2=30.3°, E=1346.8009)
  進捗: 9400 / 40401  (ω1=9.6°, ω2=35.3°, E=1650.9940)
  進捗: 9450 / 40401  (ω1=9.7°, ω2=20.2°, E=1596.4839)
  進捗: 9500 / 40401  (ω1=9.7°, ω2=25.2°, E=1437.2671)
  進捗: 9550 / 40401  (ω1=9.7°, ω2=30.2°, E=1330.3452)
  進捗: 9600 / 40401  (ω1=9.7°, ω2=35.2°, E=1646.1424)
  進捗: 9650 / 40401  (ω1=9.8°, ω2=20.1°, E=1595.0880)
  進捗: 9700 / 40401  (ω1=9.8°, ω2=25.1°, E=1442.4671)
  進捗: 9750 / 40401  (ω1=9.8°, ω2=30.1°, E=1315.7791)
  進捗: 9800 / 40401  (ω1=9.8°, ω2=35.1°, E=1640.7561)
